object,task,log,commit,seed,first_goal_step,time_to_goal_s
Milk Bottle,milk,results/fig8_objects/milk_seed0.v4standoff.log,a4afd78,0,728,54.600
Clamp,clamp,results/fig8_objects/clamp_seed0.v4standoff.log,a4afd78,0,1748,131.100
Chicken Broth,chicken_broth,results/fig8_objects/chicken_broth_projfix_seed0.log,5c82410,0,366,27.450
Chicken Broth,chicken_broth,results/fig8_objects/chicken_broth_seed0.badclearance.log,5c82410,0,366,27.450
Push T,push_t_white_block,results/fig8_blocks/push_t_white_block_seed0.log,ca80619,0,569,42.675
