state,cand,act_dV,act_dgoal,tilt,actual_rank
S0,bank_stem_east_1,0.03669141699844697,-0.03669141699844697,0.2104429574779082,1
S0,bank_crossbar_east_0,0.029050014485407172,-0.029050014485407172,28.432861206418597,2
S0,bank_stem_tip_0,0.02595001420255383,-0.025950014202553884,3.360578797819471,3
S0,bank_stem_east_2,0.02573787572113262,-0.02573787572113262,5.360477629694138,4
S0,bank_stem_east_0,0.020684476495612836,-0.020684476495612836,0.2670708425699934,5
S0,logged_2,0.01683979612763703,-0.01683979612763703,6.357803665894585,6
S0,bank_crossbar_bottom_east_1,0.012823794592466964,-0.012823794592466964,90.00713895068054,7
S0,bank_crossbar_bottom_east_0,0.011703542676631151,-0.011703542676631151,90.00669556937703,8
S0,bank_crossbar_top_0,-0.004232091414638428,0.004232091414638373,0.037544613077276086,9
S0,bank_crossbar_west_0,-0.005772492667462492,0.005772492667462492,27.90527562452523,10
S0,bank_crossbar_top_2,-0.008868279945571156,0.0088682799455711,0.04324597012568613,11
S0,logged_0,-0.01907909862145024,0.01907909862145024,0.06240314071506322,12
S0,logged_1,-0.01982682347978154,0.01982682347978154,0.04696506490036901,13
S0,bank_stem_west_2,-0.030573203387054493,0.030573203387054493,4.852696301552061,14
S0,bank_stem_west_0,-0.03193214277061057,0.03193214277061057,0.2589812956329107,15
S0,bank_stem_west_1,-0.0437897388707959,0.0437897388707959,0.22756386618174296,16
S0,bank_crossbar_top_1,-0.04688084174152979,0.04688084174152979,0.03788236595189913,17
S1,bank_stem_tip_0,0.007807795171633158,0.0032001275167193866,1.7299269159980584,1
S1,logged_0,0.0014675837505315203,0.00044758459386273763,0.030889113775368408,2
S1,bank_stem_west_2,-0.000375703466640509,-0.0003283471228496815,0.02944017837369021,3
S1,bank_crossbar_bottom_east_1,-0.0012570901265948065,0.001773628317563114,6.897313665149947,4
S1,bank_crossbar_bottom_east_0,-0.0021154574661701453,0.002888719761881431,9.096892125649354,5
S1,bank_stem_west_1,-0.003588631102853568,-0.003441442613030976,0.11768404993278221,6
S1,bank_crossbar_west_0,-0.005108073585304296,0.0014515378651440147,9.177941568208409,7
S1,bank_stem_west_0,-0.0053856007503737535,-0.004413811306694382,0.20390845565164606,8
S1,bank_crossbar_top_0,-0.009007463640192004,0.004942196546712796,0.05122612158133762,9
S1,logged_2,-0.01663054210112369,0.007417975483149042,0.052791694984901105,10
S1,bank_crossbar_top_1,-0.017688387621364488,0.013487320916277523,0.04732653192120579,11
S1,bank_stem_east_2,-0.028600526156084993,0.04445499511154266,4.839504146234683,12
S1,bank_stem_east_0,-0.02947841101387133,0.04186373477854122,0.21875884506616958,13
S1,bank_stem_east_1,-0.041560874029400674,0.06203947954610545,0.22780782375643963,14
S2,bank_stem_tip_0,0.023738231748087257,-0.02525375674403957,3.442164450866366,1
S2,bank_stem_west_1,0.021852130645519552,-0.021555983016323887,0.17846427817333313,2
S2,bank_stem_west_2,0.017940524126758173,-0.01619033489256727,5.130965523048646,3
S2,bank_stem_west_0,0.013728618566252071,-0.0119772019053358,0.25952098142747104,4
S2,bank_crossbar_bottom_east_0,0.013682216714913209,-0.01479917676924658,90.03788577986681,5
S2,bank_crossbar_bottom_east_1,0.013108102564293844,-0.014381688282223026,90.0089389700971,6
S2,bank_crossbar_top_2,-0.0053948305487174775,0.0061544817987424505,0.07190076386140604,7
S2,bank_crossbar_top_0,-0.008898995909618623,0.009032905609129338,0.06360015504290094,8
S2,bank_stem_east_2,-0.013220296808304,0.010851368786907567,0.9857445545566704,9
S2,bank_crossbar_east_0,-0.013816419987451423,0.011716129186467694,10.153745458916992,10
S2,bank_stem_east_1,-0.019466780248123372,0.016886908391014532,0.1462997911064985,11
S2,bank_stem_east_0,-0.020327839750291732,0.017512680616178833,0.288265736714534,12
S2,logged_2,-0.025192259462600286,0.026235006580414166,0.03494424133795047,13
S2,bank_crossbar_top_1,-0.03880438540026904,0.04049038742509481,0.03823173693987871,14
