epsilon_m,phaseA_cases_available,pre_basin_flips,corridor_floor_metric,selection_status,reason
0.01,0,NA,NA,NOT_EVALUATED,Phase A replays not launched because prerequisite gates blocked
0.02,0,NA,NA,NOT_EVALUATED,Phase A replays not launched because prerequisite gates blocked
0.03,0,NA,NA,NOT_EVALUATED,Phase A replays not launched because prerequisite gates blocked
0.05,0,NA,NA,NOT_EVALUATED,Phase A replays not launched because prerequisite gates blocked
