run,step,mode,ee_x,ee_y,ee_z,obj_x,obj_y,obj_z,planner_lam_n,planner_contact_admit,drake_admit,drake_distance,phantom,fcmd_x,fcmd_y,fcmd_z
3,116,c3,0.078,-0.001,0.043,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
3,117,c3,0.078,-0.001,0.044,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
3,118,c3,0.078,-0.001,0.044,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
3,119,c3,0.078,-0.001,0.044,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
3,120,c3,0.078,-0.001,0.044,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
3,121,c3,0.078,-0.001,0.044,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
3,122,c3,0.078,-0.001,0.045,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
3,123,c3,0.078,-0.002,0.045,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
3,124,c3,0.078,-0.002,0.045,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
3,125,c3,0.077,-0.002,0.045,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
3,126,c3,0.077,-0.002,0.045,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
3,127,c3,0.077,-0.002,0.045,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
3,128,c3,0.077,-0.002,0.046,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
3,194,c3,-0.024,-0.056,0.046,-0.097,-0.02,0.059,0.8410,1,0,nan,1,1.99,-0.2,-0.0
3,202,c3,-0.022,-0.051,0.043,-0.094,-0.021,0.055,0.0000,1,0,nan,0,1.99,-0.2,-0.0
4,110,c3,0.079,-0.001,0.047,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
4,111,c3,0.079,-0.001,0.045,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
4,112,c3,0.079,-0.001,0.044,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
4,113,c3,0.079,-0.001,0.044,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
4,114,c3,0.079,-0.001,0.043,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
4,115,c3,0.079,-0.001,0.043,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
4,116,c3,0.078,-0.001,0.043,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
4,117,c3,0.078,-0.001,0.044,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
4,118,c3,0.078,-0.001,0.044,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
4,119,c3,0.078,-0.001,0.044,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
4,120,c3,0.078,-0.001,0.044,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
4,121,c3,0.078,-0.001,0.044,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
4,122,c3,0.078,-0.001,0.045,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
4,123,c3,0.078,-0.002,0.045,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
4,124,c3,0.078,-0.002,0.045,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
4,125,c3,0.077,-0.002,0.045,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
4,126,c3,0.077,-0.002,0.045,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
4,127,c3,0.077,-0.002,0.045,0.0,0.0,0.05,0.5840,0,0,nan,1,2.0,0.0,-0.0
4,192,c3,-0.023,-0.057,0.045,-0.095,-0.02,0.058,0.7000,1,0,nan,1,1.99,-0.19,-0.0
4,198,c3,-0.021,-0.055,0.042,-0.091,-0.023,0.052,0.0000,1,0,nan,0,1.99,-0.22,-0.0
4,218,c3,-0.061,-0.075,0.043,-0.123,-0.03,0.053,0.0480,1,0,nan,0,1.97,-0.34,-0.0
