mpc_step,admm_iter,k,n_c,lam_n_EE-BOX,lam_t_norm_EE-BOX,gamma_EE-BOX,lam_n_T-VERT-0,lam_t_norm_T-VERT-0,gamma_T-VERT-0,lam_n_T-VERT-1,lam_t_norm_T-VERT-1,gamma_T-VERT-1,lam_n_T-VERT-2,lam_t_norm_T-VERT-2,gamma_T-VERT-2
0,1,17,4,0.967966,1.189066,0.049086,9.689081,0.000000,0.000000,13.384832,15.112648,0.000001,13.408038,14.182977,0.000000
0,1,18,4,0.783572,1.000024,0.278902,11.165320,0.000000,0.000000,15.197347,16.513906,0.000001,15.180775,15.611943,0.000000
0,1,19,4,0.572892,0.732743,0.553703,13.111172,0.000000,0.000000,17.691269,18.358736,0.000001,17.617363,17.489993,0.000000
0,2,0,4,5.054994,1.014661,-0.000000,4.550646,1.390580,0.000000,6.797526,6.128700,0.000000,6.577281,5.509495,0.000000
0,2,1,4,5.263495,1.120544,-0.000000,5.234442,4.188966,0.000000,10.125223,9.109931,0.000001,7.313689,3.290859,-0.000000
0,2,2,4,5.083074,1.254830,-0.000000,5.371406,3.342820,-0.000000,10.053664,9.169783,0.000000,8.119312,5.439522,0.000000
0,2,3,4,4.617590,1.294152,-0.000000,4.928936,0.000000,-0.000000,8.700250,7.896262,0.000000,8.021177,5.930619,0.000000
0,2,4,4,4.155043,1.315587,0.000000,4.464333,0.314302,0.000000,7.668740,6.835482,0.000000,7.405964,5.774495,0.000000
0,2,5,4,3.837834,1.301406,-0.000000,3.902552,0.380346,0.000000,6.959299,5.965271,0.000000,6.745586,4.919408,0.000000
0,2,6,4,3.541368,1.242013,-0.000000,3.509274,0.000000,-0.000000,6.463230,5.245608,0.000000,6.070941,3.931094,0.000000
0,2,7,4,3.261768,1.134708,0.000000,2.985089,0.571779,-0.000000,5.800178,4.356241,0.000000,5.223887,2.988767,0.000000
0,2,8,4,2.923968,0.992459,-0.000000,2.600129,2.023399,0.000000,4.917605,3.238588,0.000000,4.175479,2.325145,0.000000
0,2,9,4,2.544293,0.894658,0.000000,2.073192,2.639155,0.000000,3.751581,1.940608,0.000001,3.152433,1.422265,0.000000
0,2,10,4,2.170365,0.840968,-0.000000,1.340920,2.008243,0.000000,2.299453,0.386653,0.000001,2.445656,0.000000,0.000000
0,2,11,4,1.859032,0.627816,-0.000000,0.108158,1.092856,0.000001,0.995898,0.000000,0.000001,1.048721,0.000000,-0.000000
0,2,12,4,1.499254,0.432878,0.000000,-0.000000,0.768458,0.072189,0.111317,0.000000,0.118978,0.083382,0.000000,0.121010
0,2,13,4,1.266831,0.454433,-0.000000,-0.000000,0.871129,0.117396,0.015859,0.000000,0.234429,-0.000000,0.000000,0.206145
0,2,14,4,1.162790,0.567467,0.000000,-0.000000,0.986326,0.121487,0.052681,0.000000,0.237007,-0.000000,0.000000,0.164406
0,2,15,4,1.102480,0.561620,0.097107,-0.000000,1.147805,0.122326,0.020582,0.000000,0.237211,-0.000000,0.000000,0.133045
0,2,16,4,1.051285,0.551924,0.350904,-0.000000,1.361632,0.138298,-0.000000,0.000000,0.237270,-0.000000,0.000000,0.111464
0,2,17,4,1.012080,0.562682,0.716145,-0.000000,1.644719,0.159736,-0.000000,0.000000,0.236182,-0.000000,0.000000,0.092217
0,2,18,4,1.026294,0.681574,0.839366,-0.000000,2.027668,0.179529,-0.000000,0.000000,0.235327,-0.000000,0.000000,0.072473
0,2,19,4,1.190947,0.948428,0.959523,-0.000000,2.575858,0.193099,0.000000,0.000000,0.236203,-0.000000,0.000000,0.053507
0,3,0,4,7.040664,0.833291,0.000000,5.254209,3.847708,0.000000,9.869419,8.915213,0.000000,6.886799,4.044579,0.000000
0,3,1,4,6.643130,0.830332,0.000000,1.480463,1.422967,0.043670,6.421879,5.907143,0.103230,3.055729,3.210800,0.106240
0,3,2,4,5.371211,0.255607,0.000000,-0.000000,0.430872,0.476481,1.259914,0.802755,0.144651,0.631817,0.661558,0.413177
0,3,3,4,4.443062,0.230021,0.000000,-0.000000,1.377823,0.809883,0.189356,0.213539,0.458279,-0.000000,0.000000,0.504318
0,3,4,4,3.708209,0.347137,-0.000000,-0.000000,1.351583,0.437616,0.130449,0.097875,0.585693,-0.000000,0.000000,0.552089
0,3,5,4,3.346818,0.374035,0.000000,-0.000000,1.237176,0.190606,0.226809,0.147393,0.645016,-0.000000,0.000000,0.662147
0,3,6,4,3.314894,0.388408,0.000000,-0.000000,1.239031,0.098354,0.493096,0.164157,0.509931,0.273140,0.282845,0.520132
0,3,7,4,3.572720,0.522430,0.000000,-0.000000,1.224508,0.080279,1.653024,1.678682,0.193801,0.733656,1.082796,0.196126
0,3,8,4,3.705487,0.770458,0.000000,1.045820,2.045524,0.000000,3.149115,3.468623,0.000001,2.094344,0.000000,0.000000
0,3,9,4,3.632442,1.022746,-0.000000,2.348039,2.812670,0.000000,4.707137,5.319499,0.000001,3.841431,2.854253,-0.000000
0,3,10,4,3.489648,1.206628,0.000000,4.175460,0.000000,0.000000,7.215262,8.229506,0.000000,6.658177,5.979915,0.000000
0,3,11,4,3.418036,1.336448,-0.000000,5.908346,0.892178,-0.000000,10.329981,10.809934,0.000000,9.147688,7.232128,0.000000
0,3,12,4,3.255284,1.188555,-0.000000,8.843097,0.560456,0.000000,13.086114,12.843272,-0.000000,12.093181,9.744371,0.000000
0,3,13,4,3.157443,1.351505,0.000000,10.093727,1.003174,0.000000,15.119646,15.162340,0.000000,14.095961,12.010601,0.000000
0,3,14,4,3.130952,1.445800,0.000000,10.676490,0.889289,0.000000,15.970478,16.236137,0.000000,15.029091,13.196557,-0.000000
0,3,15,4,3.053917,1.434817,0.000000,10.896505,0.707727,0.000000,16.126175,16.442507,-0.000000,15.314965,13.603216,-0.000000
0,3,16,4,2.910453,1.351779,-0.000000,11.010889,0.547075,-0.000000,16.107270,16.399059,-0.000000,15.368053,13.665615,0.000000
0,3,17,4,2.707980,1.220240,0.000000,11.111003,0.424717,-0.000000,16.044430,16.261234,-0.000000,15.316797,13.552200,-0.000000
0,3,18,4,2.475167,1.050217,-0.000000,11.248156,0.355729,-0.000000,16.008256,16.096971,0.000000,15.223608,13.302893,-0.000000
0,3,19,4,2.029811,0.833521,-0.000000,11.461817,0.216729,-0.000000,16.025233,15.936193,0.000000,15.154075,12.962541,-0.000000
0,4,0,4,9.710520,0.892177,0.000000,-0.000000,2.178921,0.000000,4.371936,5.531609,0.000001,1.577195,2.271401,0.000000
0,4,1,4,8.047826,0.610600,0.000000,-0.000000,1.738560,0.237029,0.356779,0.590944,0.150749,0.000000,0.600828,0.158697
0,4,2,4,7.365390,0.431238,-0.000000,-0.000000,0.960377,0.000000,1.573306,2.494289,-0.000000,0.784475,1.755676,-0.000000
