t,ee_box_depth,ee_box_force_norm,n_pairs
0.086000,0.00000000,0.0000,1
0.087000,0.00000000,0.0000,1
0.088000,0.00000000,0.0000,1
0.089000,0.00000000,0.0000,1
0.090000,0.00000000,0.0000,1
0.091000,0.00000000,0.0000,1
0.092000,0.00000000,0.0000,1
0.093000,0.00000000,0.0000,1
0.093750,0.00000000,0.0000,1
0.094000,0.00000000,0.0000,1
0.095000,0.00000000,0.0000,1
0.096000,0.00000000,0.0000,1
0.097000,0.00000000,0.0000,1
0.098000,0.00000000,0.0000,1
0.099000,0.00000000,0.0000,1
0.100000,0.00000000,0.0000,1
0.100000,0.00000000,0.0000,1
0.101000,0.00000000,0.0000,1
0.102000,0.00000000,0.0000,1
0.103000,0.00000000,0.0000,1
0.104000,0.00000000,0.0000,1
0.105000,0.00000000,0.0000,1
0.106000,0.00000000,0.0000,1
0.107000,0.00000000,0.0000,1
0.108000,0.00000000,0.0000,1
0.109000,0.00000000,0.0000,1
0.109375,0.00000000,0.0000,1
0.110000,0.00000000,0.0000,1
0.110000,0.00000000,0.0000,1
0.111000,0.00000000,0.0000,1
0.112000,0.00000000,0.0000,1
0.113000,0.00000000,0.0000,1
0.114000,0.00000000,0.0000,1
0.115000,0.00000000,0.0000,1
0.116000,0.00000000,0.0000,1
0.117000,0.00000000,0.0000,1
0.118000,0.00000000,0.0000,1
0.119000,0.00000000,0.0000,1
0.120000,0.00000000,0.0000,1
0.120000,0.00000000,0.0000,1
0.121000,0.00000000,0.0000,1
0.122000,0.00000000,0.0000,1
0.123000,0.00000000,0.0000,1
0.124000,0.00000000,0.0000,1
0.125000,0.00000000,0.0000,1
0.126000,0.00000000,0.0000,1
0.127000,0.00000000,0.0000,1
0.128000,0.00000000,0.0000,1
0.129000,0.00000000,0.0000,1
0.130000,0.00000000,0.0000,1
0.130000,0.00000000,0.0000,1
0.131000,0.00000000,0.0000,1
0.132000,0.00000000,0.0000,1
0.133000,0.00000000,0.0000,1
0.134000,0.00000000,0.0000,1
0.135000,0.00000000,0.0000,1
0.136000,0.00000000,0.0000,1
0.137000,0.00000000,0.0000,1
0.138000,0.00000000,0.0000,1
0.139000,0.00000000,0.0000,1
0.140000,0.00000000,0.0000,1
0.140000,0.00000000,0.0000,1
0.140625,0.00000000,0.0000,1
0.141000,0.00000000,0.0000,1
0.142000,0.00000000,0.0000,1
0.143000,0.00000000,0.0000,1
0.144000,0.00000000,0.0000,1
0.145000,0.00000000,0.0000,1
0.146000,0.00000000,0.0000,1
0.147000,0.00000000,0.0000,1
0.148000,0.00000000,0.0000,1
0.149000,0.00000000,0.0000,1
0.150000,0.00000000,0.0000,1
0.151000,0.00000000,0.0000,1
0.152000,0.00000000,0.0000,1
0.153000,0.00000000,0.0000,1
0.154000,0.00000000,0.0000,1
0.155000,0.00000000,0.0000,1
0.156000,0.00000000,0.0000,1
0.156250,0.00000000,0.0000,1
0.157000,0.00000000,0.0000,1
0.158000,0.00000000,0.0000,1
0.159000,0.00000000,0.0000,1
0.160000,0.00000000,0.0000,1
0.161000,0.00000000,0.0000,1
0.162000,0.00000000,0.0000,1
0.163000,0.00000000,0.0000,1
0.164000,0.00000000,0.0000,1
0.165000,0.00000000,0.0000,1
0.166000,0.00000000,0.0000,1
0.167000,0.00000000,0.0000,1
0.168000,0.00000000,0.0000,1
0.169000,0.00000000,0.0000,1
0.170000,0.00000000,0.0000,1
0.171000,0.00000000,0.0000,1
0.171875,0.00000000,0.0000,1
0.172000,0.00000000,0.0000,1
0.173000,0.00000000,0.0000,1
0.174000,0.00000000,0.0000,1
0.175000,0.00000000,0.0000,1
0.176000,0.00000000,0.0000,1
0.177000,0.00000000,0.0000,1
0.178000,0.00000000,0.0000,1
0.179000,0.00000000,0.0000,1
0.180000,0.00000000,0.0000,1
0.180000,0.00000000,0.0000,1
0.181000,0.00000000,0.0000,1
0.182000,0.00000000,0.0000,1
0.183000,0.00000000,0.0000,1
0.184000,0.00000000,0.0000,1
0.185000,0.00000000,0.0000,1
0.186000,0.00000000,0.0000,1
0.187000,0.00000000,0.0000,1
0.187500,0.00000000,0.0000,1
0.188000,0.00000000,0.0000,1
0.189000,0.00000000,0.0000,1
0.190000,0.00000000,0.0000,1
0.190000,0.00000000,0.0000,1
0.191000,0.00000000,0.0000,1
0.192000,0.00000000,0.0000,1
0.193000,0.00000000,0.0000,1
0.194000,0.00000000,0.0000,1
0.195000,0.00000000,0.0000,1
0.196000,0.00000000,0.0000,1
0.197000,0.00000000,0.0000,1
0.198000,0.00000000,0.0000,1
0.199000,0.00000000,0.0000,1
0.200000,0.00000000,0.0000,1
0.200000,0.00000000,0.0000,1
0.201000,0.00000000,0.0000,1
0.202000,0.00000000,0.0000,1
0.203000,0.00000000,0.0000,1
0.203125,0.00000000,0.0000,1
0.204000,0.00000000,0.0000,1
0.205000,0.00000000,0.0000,1
0.206000,0.00000000,0.0000,1
0.207000,0.00000000,0.0000,1
0.208000,0.00000000,0.0000,1
0.209000,0.00000000,0.0000,1
0.210000,0.00000000,0.0000,1
0.210000,0.00000000,0.0000,1
0.211000,0.00000000,0.0000,1
0.212000,0.00000000,0.0000,1
0.213000,0.00000000,0.0000,1
0.214000,0.00000000,0.0000,1
0.215000,0.00000000,0.0000,1
0.216000,0.00000000,0.0000,1
0.217000,0.00000000,0.0000,1
0.218000,0.00000000,0.0000,1
0.218750,0.00000000,0.0000,1
0.219000,0.00000000,0.0000,1
0.220000,0.00000000,0.0000,1
0.220000,0.00000000,0.0000,1
0.221000,0.00000000,0.0000,1
0.222000,0.00000000,0.0000,1
0.223000,0.00000000,0.0000,1
0.224000,0.00000000,0.0000,1
