135	+0.0214	+0.0500
136	+0.0220	+0.0500
137	+0.0244	+0.0500
138	+0.0253	+0.0500
139	+0.0283	+0.0502
140	+0.0300	+0.0502
141	+0.0474	+0.0508
142	+0.0516	+0.0514
143	+0.0557	+0.0526
144	+0.0598	+0.0538
145	+0.0668	+0.0553
146	+0.0731	+0.0570
147	+0.0670	+0.0587
148	+0.0703	+0.0606
149	+0.0779	+0.0626
150	+0.0910	+0.0644
151	+0.0914	+0.0663
152	+0.0999	+0.0679
153	+0.1082	+0.0691
154	+0.1168	+0.0702
155	+0.1242	+0.0715
156	+0.1326	+0.0720
157	+0.1410	+0.0719
158	+0.1493	+0.0710
159	+0.1575	+0.0694
160	+0.1656	+0.0671
161	+0.1735	+0.0639
162	+0.1811	+0.0599
163	+0.2036	+0.0551
164	+0.2133	+0.0559
165	+0.2232	+0.0560
166	+0.2333	+0.0562
167	+0.2442	+0.0566
260	+0.0271	+0.0500
261	+0.0384	+0.0500
263	+0.0256	+0.0500
264	+0.0267	+0.0500
265	+0.0400	+0.0500
266	+0.0272	+0.0500
267	+0.0415	+0.0501
268	+0.0428	+0.0504
269	+0.0439	+0.0506
272	+0.0454	+0.0520
273	+0.0470	+0.0521
274	+0.0489	+0.0524
275	+0.0511	+0.0526
276	+0.0537	+0.0532
277	+0.0487	+0.0540
278	+0.0596	+0.0549
279	+0.0566	+0.0554
280	+0.0668	+0.0566
281	+0.0668	+0.0574
282	+0.0675	+0.0575
283	+0.0654	+0.0587
284	+0.0694	+0.0592
285	+0.0900	+0.0595
301	+0.1178	+0.0557
303	+0.1195	+0.0553
304	+0.1132	+0.0551
305	+0.1123	+0.0550
343	+0.0963	+0.0501
344	+0.0993	+0.0501
345	+0.1092	+0.0501
440	+0.0387	+0.0500
441	+0.0244	+0.0500
442	+0.0247	+0.0500
443	+0.0403	+0.0500
444	+0.0262	+0.0500
445	+0.0271	+0.0500
446	+0.0290	+0.0500
447	+0.0311	+0.0500
448	+0.0325	+0.0502
449	+0.0504	+0.0506
450	+0.0533	+0.0520
451	+0.0569	+0.0526
452	+0.0610	+0.0525
453	+0.0648	+0.0525
454	+0.0697	+0.0545
455	+0.0739	+0.0558
456	+0.0663	+0.0567
457	+0.0773	+0.0583
458	+0.0783	+0.0594
459	+0.0851	+0.0606
460	+0.0925	+0.0617
461	+0.1003	+0.0623
462	+0.1239	+0.0629
463	+0.1154	+0.0633
