1 +0.20008 0.00
2 +0.20008 0.00
3 +0.20006 0.00
4 +0.20004 0.00
5 +0.20000 0.00
6 +0.19995 0.00
7 +0.19990 0.00
8 +0.19985 0.00
9 +0.19980 0.00
10 +0.19976 0.00
11 +0.19972 0.00
12 +0.19968 0.00
13 +0.19965 0.00
14 +0.19963 0.00
15 +0.19961 0.00
16 +0.19960 0.00
17 +0.19959 0.00
18 +0.19959 0.00
19 +0.19958 0.00
20 +0.19959 0.00
21 +0.19959 0.00
22 +0.19952 0.00
23 +0.19928 0.00
24 +0.19880 0.00
25 +0.19806 0.00
26 +0.19704 0.00
27 +0.19573 0.00
28 +0.19414 0.00
29 +0.19228 0.00
30 +0.19017 0.00
31 +0.18782 0.00
32 +0.18526 0.00
33 +0.18250 0.00
34 +0.17956 0.00
35 +0.17646 0.00
36 +0.17323 0.00
37 +0.16987 0.00
38 +0.16640 0.00
39 +0.16284 0.00
40 +0.15921 0.00
41 +0.15551 0.00
42 +0.15175 0.00
43 +0.14795 0.00
44 +0.14411 0.00
45 +0.14024 0.00
46 +0.13634 0.00
47 +0.13325 0.00
48 +0.13153 0.00
49 +0.13092 0.00
50 +0.13114 0.00
51 +0.13191 0.00
52 +0.13302 0.00
53 +0.13432 0.00
54 +0.13570 0.00
55 +0.13710 0.00
56 +0.13846 0.00
57 +0.13974 0.00
58 +0.14093 0.00
59 +0.14201 0.00
60 +0.14298 0.00
61 +0.14384 0.00
62 +0.14453 0.00
63 +0.14504 0.00
64 +0.14544 0.00
65 +0.14577 0.00
66 +0.14606 0.00
67 +0.14632 0.00
68 +0.14655 0.00
69 +0.14677 0.00
70 +0.14697 0.00
71 +0.14716 0.00
72 +0.14732 0.00
73 +0.14748 0.00
74 +0.14761 0.00
75 +0.14773 0.00
76 +0.14784 0.00
77 +0.14793 0.00
78 +0.14800 0.00
79 +0.14807 0.00
80 +0.14813 0.00
81 +0.14817 0.00
82 +0.14821 0.00
83 +0.14824 0.00
84 +0.14826 0.00
85 +0.14828 0.00
86 +0.14830 0.00
87 +0.14831 0.00
88 +0.14832 0.00
89 +0.14832 0.00
90 +0.14833 0.00
91 +0.14825 0.00
92 +0.14796 0.00
93 +0.14741 0.00
94 +0.14654 0.00
95 +0.14536 0.00
96 +0.14388 0.00
97 +0.14210 0.00
98 +0.14005 0.00
99 +0.13776 0.00
100 +0.13525 0.00
101 +0.13254 0.00
102 +0.12965 0.00
103 +0.12662 0.00
104 +0.12345 0.00
105 +0.12017 0.00
106 +0.11679 0.00
107 +0.11332 0.00
108 +0.10978 0.00
109 +0.10617 0.00
110 +0.10251 0.00
111 +0.09880 0.00
112 +0.09505 0.00
113 +0.09126 0.00
114 +0.08745 0.00
115 +0.08361 0.00
116 +0.07974 0.00
117 +0.07586 0.00
118 +0.07197 0.00
119 +0.06806 0.00
120 +0.06418 0.00
121 +0.06043 0.00
122 +0.05691 0.00
123 +0.05367 0.00
124 +0.05072 0.00
125 +0.04807 0.00
126 +0.04571 0.00
127 +0.04363 0.00
128 +0.04180 0.00
129 +0.04020 0.00
130 +0.03881 0.00
131 +0.03760 0.00
132 +0.03657 0.00
133 +0.03567 0.00
134 +0.03490 0.00
135 +0.03425 0.00
136 +0.03374 0.00
137 +0.03346 0.00
138 +0.03345 0.00
139 +0.03373 0.08
140 +0.03426 0.12
141 +0.03509 0.86
142 +0.03633 1.67
143 +0.03808 3.10
144 +0.04024 4.58
145 +0.04294 6.52
146 +0.04622 8.79
147 +0.05006 11.23
148 +0.05437 14.07
149 +0.05909 17.23
150 +0.06419 20.64
151 +0.06974 24.56
152 +0.07573 28.40
153 +0.08213 32.48
154 +0.08883 36.77
155 +0.09581 41.95
156 +0.10303 47.44
157 +0.11045 53.08
158 +0.11804 58.87
159 +0.12574 64.84
160 +0.13351 70.96
161 +0.14132 77.25
162 +0.14910 83.71
163 +0.15682 90.36
164 +0.16469 93.41
165 +0.17293 96.22
166 +0.18152 97.48
167 +0.19047 97.14
168 +0.19981 96.55
169 +0.20777 95.60
170 +0.21306 94.29
171 +0.21621 92.60
172 +0.21788 90.85
173 +0.21855 90.05
174 +0.21854 90.27
175 +0.21812 90.26
176 +0.21744 90.26
177 +0.21663 90.28
178 +0.21577 90.27
179 +0.21490 90.26
180 +0.21407 90.26
181 +0.21330 90.27
182 +0.21258 90.27
183 +0.21194 90.27
184 +0.21136 90.28
185 +0.21085 90.28
186 +0.21040 90.27
187 +0.21001 90.26
188 +0.20967 90.27
189 +0.20938 90.26
190 +0.20912 90.27
191 +0.20891 90.26
192 +0.20872 90.27
193 +0.20856 90.27
194 +0.20834 90.26
195 +0.20796 90.28
196 +0.20734 90.28
197 +0.20646 90.27
198 +0.20531 90.27
199 +0.20387 90.27
200 +0.20267 90.27
201 +0.20200 90.27
202 +0.20159 90.27
203 +0.20120 90.26
204 +0.20070 90.27
205 +0.19999 90.26
206 +0.19902 90.26
207 +0.19792 90.26
208 +0.19642 90.27
209 +0.19464 90.27
210 +0.19259 90.26
211 +0.19029 90.26
212 +0.18778 90.27
213 +0.18506 90.27
214 +0.18217 90.28
215 +0.17913 90.27
216 +0.17594 90.27
217 +0.17264 90.28
218 +0.16924 90.26
219 +0.16575 90.27
220 +0.16218 90.27
221 +0.15854 90.27
222 +0.15485 90.26
223 +0.15111 90.26
224 +0.14733 90.26
225 +0.14352 90.28
226 +0.13968 90.26
227 +0.13581 90.26
228 +0.13192 90.26
229 +0.12801 90.27
230 +0.12409 90.26
231 +0.12016 90.28
232 +0.11622 90.26
233 +0.11227 90.27
234 +0.10831 90.26
