step,pr,dr,tol
555,4.9359,80.3183,1e-03
558,4.9359,80.3182,1e-03
561,4.9359,80.3186,1e-03
564,4.9359,80.3186,1e-03
567,4.9359,80.3186,1e-03
570,4.9359,80.3186,1e-03
571,4.9359,80.3186,1e-03
576,4.9359,80.3186,1e-03
577,4.9359,80.3186,1e-03
582,4.9359,80.3176,1e-03
583,4.9359,80.3186,1e-03
588,4.9359,80.3191,1e-03
589,4.9359,80.3186,1e-03
594,4.9359,80.3186,1e-03
595,4.9359,80.3186,1e-03
600,4.9359,80.3186,1e-03
601,4.9359,80.3186,1e-03
606,4.9359,80.3186,1e-03
607,4.9359,80.3186,1e-03
612,4.9359,80.3186,1e-03
613,4.9359,80.3186,1e-03
618,9.4826,375.8561,1e-03
619,10.6998,364.282,1e-03
624,9.6186,362.7564,1e-03
625,9.6713,357.7344,1e-03
630,4.9359,80.3182,1e-03
631,4.9359,80.3186,1e-03
636,4.9359,80.3186,1e-03
637,4.9359,80.3186,1e-03
642,4.9359,80.3186,1e-03
643,4.9359,80.3186,1e-03
648,4.9359,80.3186,1e-03
649,4.9359,80.3186,1e-03
654,4.9359,80.3186,1e-03
655,4.9359,80.3186,1e-03
660,4.9359,80.3186,1e-03
661,4.9359,80.3186,1e-03
666,4.9359,80.3181,1e-03
667,4.9359,80.3186,1e-03
672,7.7209,293.7437,1e-03
673,9.5122,324.6879,1e-03
678,8.0428,285.7124,1e-03
679,9.0133,275.6538,1e-03
684,4.9359,80.3185,1e-03
685,4.9359,80.3186,1e-03
690,4.9359,80.3186,1e-03
691,4.9359,80.3186,1e-03
696,4.9359,80.3182,1e-03
697,4.9359,80.3186,1e-03
702,4.9359,80.3186,1e-03
703,4.9359,80.3186,1e-03
708,4.9359,80.3186,1e-03
709,4.9359,80.3186,1e-03
714,4.9359,80.3186,1e-03
715,4.9359,80.3186,1e-03
720,4.9359,80.3186,1e-03
721,4.9359,80.3186,1e-03
726,4.9359,80.3186,1e-03
727,4.9359,80.3186,1e-03
732,11.688,365.3974,1e-03
733,9.394,328.2681,1e-03
738,11.7719,378.6156,1e-03
739,9.0782,314.5816,1e-03
744,4.9359,80.3185,1e-03
745,4.9359,80.3186,1e-03
750,4.9359,80.3186,1e-03
751,4.9359,80.3186,1e-03
756,4.9359,80.3186,1e-03
757,4.9359,80.3186,1e-03
762,4.9359,80.3186,1e-03
763,4.9359,80.3186,1e-03
768,4.9359,80.3186,1e-03
769,4.9359,80.3186,1e-03
774,4.9359,80.3186,1e-03
775,4.9359,80.3186,1e-03
780,4.9359,80.3186,1e-03
781,4.9359,80.3186,1e-03
786,4.9359,80.3186,1e-03
787,4.9359,80.3186,1e-03
792,8.8511,235.097,1e-03
793,9.1185,324.5439,1e-03
798,8.0722,261.2061,1e-03
799,9.0865,333.4762,1e-03
804,4.9359,80.3185,1e-03
805,4.9359,80.3186,1e-03
810,4.9359,80.3186,1e-03
811,4.9359,80.3186,1e-03
816,4.9359,80.3186,1e-03
817,4.9359,80.3186,1e-03
822,4.9359,80.3186,1e-03
823,4.9359,80.3186,1e-03
828,4.9359,80.3186,1e-03
829,4.9359,80.3186,1e-03
834,4.9359,80.3186,1e-03
835,4.9359,80.3186,1e-03
840,4.9359,80.3186,1e-03
841,4.9359,80.3186,1e-03
846,4.9359,80.3186,1e-03
847,4.9359,80.3186,1e-03
852,9.5287,331.1752,1e-03
853,9.3206,326.1981,1e-03
858,9.798,348.9135,1e-03
859,9.9708,334.9456,1e-03
864,4.9359,80.3182,1e-03
865,4.9359,80.3186,1e-03
870,4.9359,80.3186,1e-03
871,4.9359,80.3186,1e-03
876,4.9359,80.3186,1e-03
877,4.9359,80.3186,1e-03
882,4.9359,80.3186,1e-03
883,4.9359,80.3186,1e-03
888,4.9359,80.3186,1e-03
889,4.9359,80.3186,1e-03
894,4.9359,80.3186,1e-03
895,4.9359,80.3186,1e-03
900,4.9359,80.3186,1e-03
901,4.9359,80.3186,1e-03
906,9.5288,323.4891,1e-03
907,11.0461,401.1974,1e-03
912,13.0095,408.1131,1e-03
913,10.2329,393.8829,1e-03
918,4.9359,80.3186,1e-03
919,4.9359,80.3186,1e-03
924,4.9359,80.3186,1e-03
925,4.9359,80.3186,1e-03
930,4.9359,80.3186,1e-03
931,4.9359,80.3186,1e-03
936,4.9359,80.3186,1e-03
938,4.9359,80.3186,1e-03
941,4.9359,80.3186,1e-03
944,4.9359,80.3186,1e-03
947,4.9359,80.3186,1e-03
950,4.9359,80.3186,1e-03
953,4.9359,80.3186,1e-03
956,4.9359,80.3186,1e-03
959,4.9359,80.3186,1e-03
962,4.9359,80.3186,1e-03
