step,A_is_ee,F_W_x,F_W_y,F_W_z,F_W_mag,box_x,box_y,box_z,ee_x,ee_y,ee_z
65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05193,-0.0011,0.20091
66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05302,-0.00164,0.20092
67,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05362,-0.0029,0.2009
68,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05389,-0.00475,0.20086
69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05391,-0.00706,0.20083
70,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05377,-0.00973,0.20081
71,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05352,-0.0127,0.2008
72,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05319,-0.01585,0.20082
73,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05281,-0.01914,0.20085
74,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.0524,-0.02253,0.20089
75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05196,-0.02602,0.20094
76,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05152,-0.02958,0.20099
77,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05107,-0.03321,0.20105
78,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05062,-0.0369,0.2011
79,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.05018,-0.04064,0.20111
80,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04973,-0.04441,0.20106
81,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.0493,-0.04812,0.20099
82,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.0489,-0.05165,0.20091
83,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04852,-0.05496,0.20085
84,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04818,-0.05803,0.20044
85,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04787,-0.06089,0.19947
86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04759,-0.06349,0.19803
87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04735,-0.06582,0.19618
88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04713,-0.06789,0.194
89,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04695,-0.06971,0.19152
90,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.0468,-0.07129,0.1888
91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04666,-0.07265,0.18586
92,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04655,-0.07385,0.18274
93,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04646,-0.07492,0.17947
94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04638,-0.07588,0.17606
95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04631,-0.07672,0.17255
96,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04628,-0.07745,0.16895
97,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04631,-0.07808,0.16527
98,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04639,-0.07862,0.16154
99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.0465,-0.07908,0.15775
100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04663,-0.07947,0.15392
101,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04677,-0.0798,0.15005
102,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.0469,-0.08007,0.14616
103,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04702,-0.0803,0.14224
104,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04713,-0.08049,0.13831
105,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04724,-0.08064,0.13436
106,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04733,-0.08077,0.1304
107,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04741,-0.08088,0.12643
108,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04749,-0.08097,0.12245
109,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04755,-0.08104,0.11846
110,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04761,-0.0811,0.11448
111,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04766,-0.08114,0.11048
112,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.0477,-0.08118,0.10649
113,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04774,-0.08122,0.1025
114,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04777,-0.08124,0.0985
115,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.0478,-0.08126,0.0945
116,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04782,-0.08128,0.09051
117,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04784,-0.0813,0.08651
118,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04786,-0.08131,0.08252
119,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04788,-0.08132,0.07852
120,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04789,-0.08133,0.07452
121,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.0479,-0.08134,0.07053
122,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04791,-0.08135,0.06656
123,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04792,-0.08134,0.06269
124,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04792,-0.08132,0.05904
125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04793,-0.08128,0.05566
126,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04793,-0.08124,0.05258
127,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04793,-0.08118,0.0498
128,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04792,-0.08112,0.04732
129,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04797,-0.08091,0.04559
130,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04809,-0.0805,0.04475
131,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04826,-0.07998,0.04448
132,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04845,-0.07942,0.04457
133,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04866,-0.07885,0.04489
134,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04888,-0.07827,0.04536
135,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04911,-0.0777,0.04592
136,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04934,-0.07713,0.04654
137,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04958,-0.07656,0.0472
138,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04951,-0.07649,0.04769
139,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04901,-0.07729,0.0478
140,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04855,-0.07813,0.04792
141,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04837,-0.07844,0.0483
142,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04836,-0.07842,0.04882
143,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04846,-0.0782,0.04943
144,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04862,-0.07785,0.05009
145,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04881,-0.07742,0.05077
146,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04903,-0.07695,0.05146
147,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04896,-0.07693,0.05197
148,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04846,-0.0778,0.0521
149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04801,-0.07868,0.05223
150,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04784,-0.07901,0.0526
151,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04785,-0.079,0.05312
152,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04795,-0.07878,0.05371
153,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04812,-0.07843,0.05435
154,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04833,-0.07799,0.05501
155,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04856,-0.0775,0.05569
156,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04881,-0.07698,0.05637
157,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04875,-0.07694,0.05686
158,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04827,-0.0778,0.05697
159,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04782,-0.07868,0.05707
